LF1	Deg	PWM	LM1	Deg	PWM	LB1	Deg	PWM	RF1	Deg	PWM	RM1	Deg	PWM	RB1	Deg	PWM
	0	490		0	520		0	530.00		0	470.00		0	535.00		0	530.00
	45	815		45	833.00		45	840.00		45	780.00		45	830.00		45	845.00
	90	1140		90	1150.00		90	1160.00		90	1080.00		90	1140.00		90	1150.00
	135	1460		135	1470.00		135	1490.00		135	1360.00		135	1480.00		135	1470.00
	180	1775		180	1775.00		180	1790.00		180	1695.00		180	1780.00		180	1790.00
	225	2080		225	2090.00		225	2110.00		225	2000.00		225	2090.00		225	2080.00
	270	2375		270	2395.00		270	2400.00		270	2330.00		270	2415.00		270	2400.00
	30			30			30			30			30			30	
	60			60			60			60			60			60	
	120			120			120			120			120			120	
LF2	Deg	PWM	LM2	Deg	PWM	LB2	Deg	PWM	RF2	Deg	PWM	RM2	Deg	PWM	RB2	Deg	PWM
	0	420		0	510.00		0	500.00		0	460.00		0	500.00		0	530
	45	720		45	833.33		45	800.00		45	780.00		45	820.00		45	840
	90	1050		90	1130.00		90	1120.00		90	1090.00		90	1120.00		90	1160
	135	1365		135	1450.00		135	1450.00		135	1400.00		135	1460.00		135	1480
	180	1690		180	1770.00		180	1775.00		180	1720.00		180	1760.00		180	1785
	225	1990		225	2080.00		225	2070.00		225	2010.00		225	2070.00		225	2095
	270	2300		270	2390.00		270	2370.00		270	2330.00		270	2390.00		270	2400
	30			30			30			30			30			30	
	60			60			60			60			60			60	
	120			120			120			120			120			120	
LF3	Deg	PWM	LM3	Deg	PWM	LB3	Deg	PWM	RF3	Deg	PWM	RM3	Deg	PWM	RB3	Deg	PWM
	0	550.00		0	475.00		0	540.00		0	465.00		0	440		0	490
	45	850.00		45	800.00		45	840.00		45	770.00		45	750		45	790
	90	1166.00		90	1100.00		90	1166.67		90	1080.00		90	1070		90	1120
	135	1500.00		135	1430.00		135	1510.00		135	1380.00		135	1380		135	1440
	180	1790.00		180	1750.00		180	1820.00		180	1700.00		180	1710		180	1770
	225	2110.00		225	2050.00		225	2120.00		225	2000.00		225	1980		225	2070
	270	2410.00		270	2360.00		270	2440.00		270	2330.00		270	2300		270	2390
	30			30			30			30			30	5		30	
	60			60			60			60			60			60	
	120			120			120			120			120			120	
